iter	Passed	Remaining
357	11020	19762
358	11053	19736
359	11083	19703
360	11110	19666
361	11144	19641
362	11176	19612
363	11207	19582
364	11237	19550
365	11267	19518
366	11300	19491
367	11332	19461
368	11365	19435
369	11398	19408
370	11428	19376
371	11459	19346
372	11490	19315
373	11519	19280
374	11547	19245
375	11575	19211
376	11606	19180
377	11629	19136
378	11655	19098
379	11681	19059
380	11710	19025
381	11743	18998
382	11772	18964
383	11802	18933
384	11831	18899
385	11859	18864
386	11889	18832
387	11920	18802
388	11948	18767
389	11978	18735
390	12008	18703
391	12038	18672
392	12067	18638
393	12094	18602
394	12121	18565
395	12146	18526
396	12175	18492
397	12201	18455
398	12228	18419
399	12254	18382
400	12282	18347
401	12308	18309
